location,mean_speed,std_speed,count,violation_rate
Don Muang South 2,83.74596882178001,14.041485883216428,366158,96.28
Din Daeng South 1,89.55502624003003,14.450966985767199,331306,97.97
Bangkok South 1,99.48089531601045,17.446279276663113,499224,99.32
Samsen 1,100.96066123547378,16.126870408034936,340207,99.19
Bangkok Central 2,101.80953909882928,18.255929530533717,496332,99.24
Lat Phrao 1,101.95509144602518,18.004746765577178,414631,99.32
Din Daeng South 2,102.37608189504522,16.725469473866376,387690,99.18
Don Muang South 1,102.47746820763027,17.076224911670465,406366,99.39
Bangkok South 2,102.48902734393657,17.07523704249651,533423,99.29
Don Muang 1,103.72669509588897,17.746961565962057,383736,99.29
Bangkok Central 3,104.10588275237521,17.566767180402483,547083,99.29
Ari-Nana 1,104.3117069230805,17.418461163465594,388036,99.08
Bangkok Central 1,104.71742006042518,17.471106265252832,536979,99.31
Samsen 2,108.27398817000956,17.814885857722764,337056,99.35
